COMP,LOC,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SumOfLoC+,MaxOfLoC+,SumOfLoC-,MaxOfLoC-,Max_Set,Avg_Set,No_Rev,Sum_Churn,Max_Churn,Age,Age2,CountOfDeveloper,Ref,PRE_BUG,POST_BUG
org.apache.tools.ant.util.optional.NoExitSecurityManager.java,12,3,2,0,1,5,3,0,1,3,2,0,0,0.959183673,0.555555556,1,12,3,1,1,0,0,0,0,0,0,0,0,0,97.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.optional.image.DrawOperation.java,1,1,1,0,8,1,0,8,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,72.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.FloatCPInfo.java,26,3,0,0,2,12,3,1,1,3,2,0,0,0,0.666666667,0,0,7.666666667,1,1,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool.java,455,13,0,0,8,48,54,1,7,7,0.84375,1,0,0,0.346153846,0,0,33.38461538,1.384615385,6,0,0,0,0,0,0,0,0,0,137.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.Parameter.java,43,7,1,0,24,8,3,24,0,7,0.666666667,1,0,0,0.714285714,0,0,4.714285714,1,1,0,0,0,0,0,0,0,0,0,93.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.XSLTLogger.java,1,1,1,0,3,1,0,3,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,105.85,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.FlexInteger.java,19,3,1,0,0,7,0,0,0,3,0,1,0,0,0.666666667,0,0,5,1,1,0,0,0,0,0,0,0,0,0,87,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Unpack.java,162,10,3,2,7,26,29,2,5,6,0.555555556,1,0,0.804347826,0.5,0,0,15,1.3,4,0,0,0,0,0,0,0,0,0,109,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.sitraka.StringUtil.java,43,2,1,0,1,9,1,1,0,1,2,0,0,0,0.5,0,0,20.5,2,3,0,0,0,0,0,0,0,0,0,124.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.DTDLocation.java,4,1,2,1,3,2,0,2,1,1,2,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,93.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.jsp.JspMangler.java,2,2,1,0,7,2,1,7,0,2,2,0,0,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,92,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbcTask.java,395,14,3,0,8,41,57,0,8,10,0.769230769,1,1,0.74,0.314285714,0,0,26.71428571,1.214285714,2,0,0,0,0,0,0,0,0,0,137.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Dirname.java,48,4,3,0,5,10,2,0,5,4,0.666666667,1,0,0.925,0.5,0,0,10.5,1,1,0,0,0,0,0,0,0,0,0,91.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.LongCPInfo.java,26,3,0,0,2,12,3,1,1,3,2,0,0,0,0.666666667,0,0,7.666666667,1,1,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.bzip2.BZip2Constants.java,2064,1,1,0,2,1,0,2,0,0,2,0,0,0,0,0,0,2052,1,1,0,0,0,0,0,0,0,0,0,108.85,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.optional.image.ColorMapper.java,116,2,1,0,4,5,1,4,0,2,2,0,0,0,0.5,0,0,49,9,17,0,0,0,0,0,0,0,0,0,72.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.junit.Xalan1Executor.java,126,4,0,0,6,16,1,0,6,2,2,0,0,0,1,0,0,30.5,1,1,0,0,0,0,0,0,0,0,0,107.57,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.email.UUMailer.java,59,2,3,0,4,15,1,0,4,0,2,0,0,0.952380952,0.666666667,1,1,28.5,1,1,0,0,0,0,0,0,0,0,0,97.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo.java,16,3,0,5,7,4,1,6,1,2,0.5,1,0,0,0.555555556,0,0,4,1,1,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapterFactory.java,97,4,1,0,12,17,6,1,11,2,2,0,0,0,0.5,0,0,23.25,1,1,0,0,0,0,0,0,0,0,0,92,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo.java,86,6,0,0,6,16,1,5,3,6,0.6,1,0,0,0.444444444,0,0,12.66666667,1.166666667,2,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.zip.ZipExtraField.java,6,6,1,0,5,6,15,4,1,6,2,0,0,0,0.444444444,0,0,0,1,1,0,0,0,0,0,0,0,0,0,138.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.junit.Xalan2Executor.java,114,4,0,0,2,14,1,0,2,2,2,0,0,0,1,0,0,27.5,1,1,0,0,0,0,0,0,0,0,0,107.57,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.sitraka.bytecode.MethodInfo.java,246,13,1,0,4,28,62,2,2,12,0.770833333,1,0,0,0.435897436,0,0,17.61538462,1.153846154,3,0,0,0,0,0,0,0,0,0,124.28,0,0,0,FALSE,FALSE
org.apache.tools.ant.filters.LineContains.java,173,8,5,0,6,26,0,1,5,5,0.571428571,1,0,0.823529412,0.375,2,5,20.25,1.375,4,0,0,0,0,0,0,0,0,0,93.28,0,0,0,FALSE,FALSE
org.apache.tools.zip.UnrecognizedExtraField.java,76,10,1,0,3,13,31,1,2,10,0.703703704,1,1,0,0.375,0,0,6.3,1.2,2,0,0,0,0,0,0,0,0,0,138.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.ExecuteStreamHandler.java,5,5,1,0,38,5,10,38,0,5,2,0,0,0,0.533333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,178.14,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.ManifestException.java,5,1,3,0,6,2,0,6,0,1,2,0,0,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,124.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.input.MultipleChoiceInputRequest.java,32,3,2,0,3,8,0,2,1,3,0,1,0,0.75,0.555555556,0,0,9.333333333,1.333333333,2,0,0,0,0,0,0,0,0,0,86.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckinDefault.java,11,1,0,0,2,4,0,0,2,1,2,0,0,0,1,0,0,9,1,1,0,0,0,0,0,0,0,0,0,124.85,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.optional.image.BasicShape.java,32,5,0,3,5,6,4,3,2,5,0.75,1,0,0,0.533333333,0,0,4.8,1,1,0,0,0,0,0,0,0,0,0,72.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.IntegerCPInfo.java,26,3,0,0,2,12,3,1,1,3,2,0,0,0,0.666666667,0,0,7.666666667,1,1,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ClassCPInfo.java,52,5,0,0,8,14,0,7,3,5,0.375,1,0,0,0.466666667,0,0,9,1,1,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo.java,28,4,0,0,7,9,0,7,1,4,0.333333333,1,0,0,0.625,0,0,5.75,1,1,0,0,0,0,0,0,0,0,0,163.71,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool.java,8,3,1,0,5,3,3,4,2,3,1.5,0,0,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,90.14,0,0,0,FALSE,FALSE
org.apache.tools.ant.types.FileList.java,181,8,3,0,11,33,0,6,5,6,0.428571429,1,0,0.833333333,0.3125,1,1,21.375,2.25,5,0,0,0,0,0,0,0,0,0,123.42,0,0,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.XSLTLiaison.java,4,3,1,0,4,3,3,4,0,3,1.5,0,0,0,0.666666667,0,0,0,1,1,1,1,0,0,18,18,1,1,1,23.57,1,1,0,TRUE,FALSE
org.apache.tools.ant.util.regexp.RegexpUtil.java,20,3,1,0,6,4,3,6,0,3,2,0,0,0,0.5,0,0,5.666666667,1.333333333,2,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ide.VAJProjectDescription.java,66,8,1,0,5,11,14,4,1,8,0.761904762,1,0,0,0.6875,0,0,6.875,1.5,3,1,1,1,1,12,12,1,2,2,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler.java,40,3,2,0,5,12,3,1,4,1,2,0,0,0.857142857,0.666666667,0,0,12.33333333,1,1,1,1,1,1,18,18,1,2,2,23.57,1,1,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapter.java,4,4,1,0,5,4,6,3,3,4,2,0,0,0,0.625,0,0,0,1,1,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.KeepAliveOutputStream.java,7,2,3,0,0,3,1,0,0,2,2,0,0,0.909090909,0.75,1,1,2.5,1,1,1,1,1,1,89,89,1,2,2,22,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.ClassFileUtils.java,19,3,1,0,2,5,3,2,0,3,2,0,0,0,0.5,0,0,5.333333333,1,1,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.TaskContainer.java,1,1,1,0,13,1,0,12,1,1,2,0,0,0,1,0,0,0,1,1,1,1,1,1,43,43,1,2,2,23.85,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.jsp.JspNameMangler.java,373,7,1,0,2,23,19,1,1,3,0.666666667,0,0,0,0.416666667,0,0,52.14285714,2.285714286,6,1,1,1,1,3,3,1,2,2,21,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.FileNameMapper.java,3,3,1,0,25,3,3,25,0,3,2,0,0,0,1,0,0,0,1,1,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.types.ResourceFactory.java,1,1,1,0,5,1,0,4,1,1,2,0,0,0,1,0,0,0,1,1,1,1,1,1,127,127,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory.java,88,3,1,0,7,14,3,1,6,1,2,0,0,0,0.444444444,0,0,28.33333333,1,1,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ssh.LogListener.java,1,1,1,0,4,1,0,4,0,1,2,0,0,0,1,0,0,0,1,1,1,1,1,1,10,10,1,2,2,23.14,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.regexp.Regexp.java,3,1,1,0,12,1,0,10,2,1,2,0,0,0,1,0,0,0,1,1,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.types.AntFilterReader.java,166,10,3,0,9,31,15,2,7,10,0.666666667,1,1,0.769230769,0.3,1,1,15.3,1.5,3,1,1,1,1,227,227,1,2,2,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ide.VAJAntTool.java,125,4,1,0,7,26,6,1,7,4,1.333333333,1,0,0,0.25,0,0,30,1.75,3,1,1,2,2,12,12,1,3,3,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckin.java,19,1,0,0,2,9,0,0,2,1,2,0,0,0,1,0,0,18,1,1,3,3,0,0,18,18,1,3,3,23.57,1,1,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.GZip.java,56,2,4,0,4,13,1,0,4,1,2,0,0,0.980392157,1,1,2,27,2.5,4,3,3,0,0,18,18,1,3,3,23.57,1,1,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.optional.ide.VAJWorkspaceScanner.java,285,7,2,0,7,32,13,1,7,5,0.666666667,1,0,0.927536232,0.583333333,1,9,39.42857143,3.428571429,8,1,1,2,2,89,89,1,3,3,22,1,1,0,FALSE,FALSE
org.apache.tools.zip.ZipShort.java,89,7,1,0,7,8,0,7,0,7,0,1,0,0,0.428571429,1,1,11.57142857,1.428571429,4,1,1,2,2,11,11,1,3,3,22.28,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.MergingMapper.java,24,4,1,0,4,5,0,3,1,4,0.333333333,1,0,0,0.875,0,0,4.75,1,1,2,2,1,1,227,227,1,3,3,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.sitraka.ReportFilters.java,147,6,1,0,7,22,0,2,5,5,0.3,1,0,0,0.375,0,0,23.16666667,2.5,9,2,2,1,1,127,127,1,3,3,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.junit.BriefJUnitResultFormatter.java,296,13,1,0,6,41,62,0,6,11,0.845238095,1,0,0,0.32967033,0,0,21.23076923,1.153846154,2,2,2,2,2,127,127,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.net.MimeMail.java,23,2,4,0,3,9,1,0,3,2,2,0,0,0.985915493,1,1,1,10.5,1,1,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.ClassFileIterator.java,1,1,1,0,3,1,0,2,1,1,2,0,0,0,1,0,0,0,1,1,2,2,2,2,30,30,1,4,4,13.14,1,1,0,TRUE,FALSE
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher.java,129,10,1,1,6,20,39,1,5,7,0.555555556,1,0,0,0.525,0,0,11.8,1.3,4,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.cvslib.RCSFile.java,39,5,1,0,2,7,4,2,0,0,0.5,1,0,0,0.7,0,0,6.2,1.2,2,2,2,2,2,30,30,1,4,4,13.14,1,1,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.Filter.java,95,6,3,0,6,18,5,0,6,5,0.733333333,1,0,0.880952381,0.5,0,0,14.33333333,1,1,2,2,2,2,30,30,1,4,4,13.28,1,1,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.StringCPInfo.java,47,4,0,0,4,16,0,1,4,4,0.333333333,1,0,0,0.5,0,0,10.5,1,1,2,2,2,2,26,26,1,4,4,23.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.junit.JUnitResultFormatter.java,5,5,1,0,10,5,10,7,3,5,2,0,0,0,0.5,0,0,0,1,1,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ccm.Continuus.java,106,7,3,3,15,25,9,6,9,4,1.041666667,0.375,0,0.860465116,0.428571429,0,0,13,1.285714286,3,2,2,2,2,23,23,1,4,4,16.85,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.DoubleCPInfo.java,26,3,0,0,2,12,3,1,1,3,2,0,0,0,0.666666667,0,0,7.666666667,1,1,2,2,2,2,26,26,1,4,4,23.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.sitraka.Triggers.java,112,6,1,0,2,18,5,2,1,3,0.733333333,1,0,0,0.4,0,0,17.16666667,1.333333333,3,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Deltree.java,152,4,3,0,3,18,4,0,3,3,0.666666667,1,0,0.925,0.75,1,1,36.75,1,1,2,2,2,2,95,95,1,4,4,23.57,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.SendEmail.java,10,2,4,0,1,5,1,0,1,2,2,0,0,0.985915493,0.75,1,1,4,1,1,2,2,2,2,95,95,1,4,4,23.57,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.rmic.RmicAdapter.java,4,4,1,0,6,4,6,3,4,4,2,0,0,0,0.625,0,0,0,1,1,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ide.VAJLoadProjects.java,4,1,0,0,1,2,0,0,1,1,2,0,0,0,1,0,0,3,1,1,2,2,2,2,12,12,1,4,4,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.cvslib.CVSEntry.java,88,9,1,0,4,18,14,3,1,4,0.65625,1,0,0,0.518518519,0,0,8.333333333,1,1,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.depend.DependencyAnalyzer.java,10,10,1,0,5,10,45,4,1,10,2,0,0,0,0.36,0,0,0,1,1,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ide.VAJImportServlet.java,37,2,0,0,2,9,1,0,2,1,2,0,0,0,1,0,0,17.5,1,1,2,2,2,2,12,12,1,4,4,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ide.VAJLoadServlet.java,54,2,0,0,3,10,1,0,3,1,2,0,0,0,1,0,0,25.5,2,3,2,2,2,2,12,12,1,4,4,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.XslpLiaison.java,56,4,1,0,4,14,0,0,4,4,0.5,1,0,0,0.583333333,0,0,12.5,1,1,2,2,2,2,43,43,1,4,4,22,1,1,0,FALSE,FALSE
org.apache.tools.ant.input.InputHandler.java,1,1,1,0,8,1,0,6,2,1,2,0,0,0,1,0,0,0,1,1,3,2,1,1,227,116.5,2,4,2,21.71,1,2,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.BZip2.java,67,2,4,0,5,15,1,0,5,1,2,0,0,0.980392157,1,1,2,32.5,2.5,4,3,3,1,1,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.types.Reference.java,54,5,1,1,44,11,4,42,2,5,0.25,1,0,0,0.533333333,0,0,9.6,1,1,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.BuildException.java,157,15,4,1,454,27,0,453,1,15,0.392857143,1,1,0.724137931,0.322222222,1,3,9.333333333,1.133333333,2,2,2,2,2,22,22,1,4,4,13.85,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.condition.Condition.java,1,1,1,0,20,1,0,19,1,1,2,0,0,0,1,0,0,0,1,1,3,3,1,1,15,15,1,4,4,20.85,1,1,0,FALSE,FALSE
org.apache.tools.ant.input.InputRequest.java,32,5,1,1,5,7,6,5,0,5,0.75,1,0,0,0.7,0,0,5,1.2,2,2,2,2,2,227,227,1,4,4,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.depend.constantpool.InterfaceMethodRefCPInfo.java,110,7,0,0,4,21,3,2,4,7,0.666666667,1,0,0,0.428571429,0,0,14,1.142857143,2,2,2,2,2,17,17,1,4,4,12.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Transform.java,4,1,5,0,1,2,0,0,1,1,2,0,0,1,1,0,0,3,1,1,3,2,2,1,227,161,2,5,3,23.57,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.LoadFile.java,262,7,3,0,7,38,0,0,7,7,0.666666667,1,0,0.860465116,0.342857143,2,2,35.71428571,1,1,3,2,2,1,127,111,2,5,3,23.57,1,1,0,FALSE,FALSE
org.apache.tools.zip.ZipLong.java,147,7,1,0,3,8,0,3,0,7,0,1,0,0,0.342857143,1,1,19.85714286,1.428571429,4,2,2,3,3,11,11,1,5,5,22.28,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.LogStreamHandler.java,31,2,2,1,24,9,1,20,4,2,2,0,0,0.923076923,0.666666667,0,0,14.5,1,1,4,4,1,1,18,18,1,5,5,23.57,1,1,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.cvslib.CvsTagEntry.java,105,7,1,0,1,11,7,1,0,7,0.333333333,0,0,0,0.714285714,0,0,13.57142857,1.857142857,7,4,4,1,1,2,2,1,5,5,6,1,1,0,FALSE,FALSE
org.apache.tools.ant.types.selectors.FileSelector.java,1,1,1,0,17,1,0,16,1,1,2,0,0,0,1,0,0,0,1,1,3,2,2,2,26,26,2,5,4,23.85,1,2,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckout.java,7,1,0,0,2,3,0,0,2,1,2,0,0,0,1,0,0,6,1,1,4,4,1,1,26,26,1,5,5,23.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.perforce.P4Have.java,26,2,0,0,4,8,1,0,4,2,2,0,0,0,1,0,0,12,1,1,5,5,0,0,26,26,1,5,5,23.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.regexp.JakartaRegexpRegexp.java,95,3,0,0,5,16,3,0,5,2,2,0,0,0,0.666666667,0,0,30.66666667,1.333333333,2,3,3,3,3,227,227,1,6,6,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.FlatFileNameMapper.java,20,4,1,0,2,7,6,1,1,4,2,0,0,0,0.875,0,0,4,1,1,4,4,2,2,227,227,1,6,6,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.extension.ExtensionResolver.java,1,1,1,0,7,1,0,4,3,1,2,0,0,0,1,0,0,0,1,1,3,3,3,3,10,10,1,6,6,23.14,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Cvs.java,4,1,4,0,1,2,0,0,1,1,2,0,0,1,1,0,0,3,1,1,3,3,3,3,95,95,1,6,6,23.57,1,1,0,FALSE,FALSE
org.apache.tools.ant.types.Substitution.java,70,4,3,0,7,17,0,3,4,4,0.833333333,0.5,0,0.909090909,0.583333333,0,0,16,1.75,3,3,3,3,3,227,227,1,6,6,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.filters.BaseParamFilterReader.java,22,4,4,11,14,7,4,11,3,3,0.666666667,1,1,0.928571429,0.5,0,0,4.25,1,1,3,3,3,3,95,95,1,6,6,23.57,1,1,0,FALSE,FALSE
org.apache.tools.ant.util.IdentityMapper.java,16,4,1,0,7,5,6,6,1,4,2,0,0,0,0.875,0,0,3,1,1,4,4,2,2,227,227,1,6,6,21.71,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.ejb.InnerClassFilenameFilter.java,47,2,1,0,1,10,0,1,0,1,0,1,0,0,0.833333333,0,0,22,2.5,3,3,2,3,2,43,30.5,2,6,4,22,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.Sleep.java,132,10,3,0,2,20,21,0,2,9,0.6,1,0,0.804347826,0.4,1,1,11.7,1,1,3,3,3,3,14,14,1,6,6,13.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.metamata.MAuditParser.java,85,2,1,0,5,16,0,1,4,0,1,1,1,0,0.75,0,0,40.5,2.5,4,3,3,3,3,43,43,1,6,6,22,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP.java,51,3,0,0,6,15,3,0,6,2,2,0,0,0,0.666666667,0,0,16,1.333333333,2,2,2,4,4,9,9,1,6,6,33.42,1,1,0,TRUE,FALSE
org.apache.tools.ant.types.selectors.BaseSelector.java,39,6,3,5,18,8,3,15,3,6,0.4,1,0,0.857142857,0.5,0,0,5.333333333,1.5,3,3,2,3,2,26,18,2,6,4,23.85,1,2,0,TRUE,FALSE
org.apache.tools.ant.taskdefs.optional.perforce.P4Reopen.java,54,3,0,0,4,11,0,0,4,3,0,1,0,0,0.666666667,0,0,16.66666667,1,1,6,6,0,0,21,21,1,6,6,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler.java,76,5,0,0,6,13,0,1,6,4,0.625,1,1,0,0.5,0,0,13.4,1,1,3,3,3,3,21,21,1,6,6,22.42,1,1,0,FALSE,FALSE
org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream.java,16,2,4,0,4,4,0,1,3,1,0,1,1,0.9375,0.666666667,1,1,6.5,1,1,3,3,3,3,18,18,1,6,6,23.57,1,1,0,TRUE,FALSE
